Hugo_Symbol	Entrez_Gene_Id	TCGA-05-4244-01	TCGA-05-4249-01	TCGA-05-4250-01	TCGA-05-4382-01	TCGA-05-4389-01	TCGA-05-4395-01	TCGA-05-4397-01	TCGA-05-4398-01	TCGA-05-4402-01	TCGA-05-4403-01	TCGA-05-4418-01	TCGA-05-4420-01	TCGA-05-4422-01	TCGA-05-4426-01	TCGA-05-4430-01	TCGA-05-4432-01	TCGA-05-4434-01	TCGA-17-Z000-01	TCGA-17-Z001-01	TCGA-17-Z002-01	TCGA-17-Z003-01	TCGA-17-Z004-01	TCGA-17-Z005-01	TCGA-17-Z006-01	TCGA-17-Z007-01	TCGA-17-Z008-01	TCGA-17-Z009-01	TCGA-17-Z010-01	TCGA-17-Z011-01	TCGA-17-Z012-01	TCGA-17-Z013-01	TCGA-17-Z014-01	TCGA-17-Z015-01	TCGA-17-Z016-01	TCGA-17-Z017-01	TCGA-17-Z018-01	TCGA-17-Z019-01	TCGA-17-Z020-01	TCGA-17-Z021-01	TCGA-17-Z022-01	TCGA-17-Z023-01	TCGA-17-Z024-01	TCGA-17-Z025-01	TCGA-17-Z026-01	TCGA-17-Z027-01	TCGA-17-Z028-01	TCGA-17-Z029-01	TCGA-17-Z030-01	TCGA-17-Z031-01	TCGA-17-Z032-01	TCGA-17-Z033-01	TCGA-17-Z034-01	TCGA-17-Z035-01	TCGA-17-Z036-01	TCGA-17-Z037-01	TCGA-17-Z038-01	TCGA-17-Z039-01	TCGA-17-Z040-01	TCGA-17-Z041-01	TCGA-17-Z042-01	TCGA-17-Z043-01	TCGA-17-Z044-01	TCGA-17-Z045-01	TCGA-17-Z046-01	TCGA-17-Z047-01	TCGA-17-Z048-01	TCGA-17-Z049-01	TCGA-17-Z050-01	TCGA-17-Z051-01	TCGA-17-Z052-01	TCGA-17-Z053-01	TCGA-17-Z054-01	TCGA-17-Z056-01	TCGA-17-Z058-01	TCGA-17-Z059-01	TCGA-17-Z060-01	TCGA-17-Z061-01	TCGA-17-Z062-01	TCGA-35-3615-01	TCGA-35-4122-01	TCGA-35-4123-01	TCGA-38-4625-01	TCGA-38-4626-01	TCGA-38-4627-01	TCGA-38-4628-01	TCGA-38-4629-01	TCGA-38-4630-01	TCGA-44-2655-01	TCGA-44-2656-01	TCGA-44-2657-01	TCGA-44-2661-01	TCGA-44-2662-01	TCGA-44-2665-01	TCGA-44-2666-01	TCGA-44-2668-01	TCGA-44-3396-01	TCGA-44-3398-01	TCGA-44-3918-01	TCGA-44-3919-01	TCGA-44-4112-01	TCGA-49-4486-01	TCGA-49-4494-01	TCGA-49-4501-01	TCGA-49-4505-01	TCGA-49-4506-01	TCGA-49-4507-01	TCGA-49-4510-01	TCGA-55-1592-01	TCGA-55-1594-01	TCGA-55-1595-01	TCGA-55-1596-01	TCGA-64-1676-01	TCGA-64-1677-01	TCGA-64-1678-01	TCGA-64-1680-01	TCGA-67-3771-01	TCGA-67-3772-01	TCGA-67-3773-01	TCGA-67-3774-01	TCGA-73-4659-01	TCGA-73-4662-01	TCGA-73-4666-01	TCGA-73-4668-01	TCGA-73-4670-01	TCGA-73-4675-01	TCGA-73-4677-01
TMEM186	25880	0.960049471	0.955017973	0.956230945	0.955704386	0.952045155	0.952087037	0.944029558	0.95097295	0.947928939	0.956856949	0.937852579	0.828611059	0.944877178	0.951861741	0.952525012	0.927982893	0.949693771	0.94941552	0.874847918	0.941518081	0.948140527	0.875066732	0.908831475	0.880980839	0.934394702	0.947666362	0.944385873	0.91448656	0.926314212	NA	0.8809854	0.951339194	0.922161055	0.933615476	0.924391299	0.898062114	0.918152831	0.953646514	0.956931976	0.938196429	0.947041273	0.963374974	0.944710688	0.928816654	0.9173803	0.944648938	0.949147545	0.921804462	0.880422867	0.911734185	0.961910925	0.918164241	0.941868239	0.956178012	0.950056632	0.910989109	0.944675669	0.948521318	0.920763047	0.91119666	0.943249569	0.927236768	0.926186077	0.89670685	0.939312475	0.918399017	0.928534558	0.946099537	0.935802707	0.914272415	0.941200015	0.895053542	0.956597917	0.869284267	0.920841951	0.909944264	0.932751242	0.962411342	0.94992512	0.945018275	0.940935694	0.954938845	0.962915452	0.944983361	0.962289635	0.940680399	0.935700117	0.949511098	0.95618399	0.950691878	0.959137174	0.957169703	0.945042299	0.960677917	0.936827333	0.951122803	0.937762784	0.96325765	0.946807137	0.95956377	0.951305509	0.941153878	0.95043297	0.948827842	0.938810026	0.941450874	0.946230917	0.954860921	0.949475096	0.956516824	0.950390277	0.9634745	0.953050601	0.955777991	0.949105879	0.901906352	0.941689146	0.950351951	0.930882392	0.951384899	0.949143609	0.956552224	0.965046481	0.947405307	0.953131075	0.959218046
CCNB1IP1	57820	0.089830931	0.080608686	0.092573294	0.102903893	0.067690723	0.09811811	0.094197841	0.072598906	0.074794008	0.092585784	0.081852238	0.274694323	0.101129622	0.072330707	0.082488273	0.099285125	0.089259125	0.056481962	0.244092956	0.097944953	0.17486327	0.136022175	0.124192266	0.485279333	0.149296556	0.06158082	0.114600623	0.155145073	0.088698285	0.169375033	0.215168772	0.098988074	0.095239503	0.097007687	0.116562998	0.190095539	0.120564952	0.071638209	0.073911462	0.063084596	0.08383001	0.062331453	0.107229268	0.119713566	0.091788101	0.059448976	0.10099046	0.119868303	0.107137412	0.141407371	0.069026029	0.138029064	0.068841072	0.083464284	0.059232215	0.093183424	0.088441365	0.087695576	0.186011433	0.149965751	0.128118913	0.090514003	0.098770796	0.214496773	0.099699818	0.13167632	0.057913865	0.05520694	0.046014015	0.192664705	0.097283223	0.278880437	0.080208729	0.280314575	0.148397832	0.132861792	0.074201524	0.072146475	0.063041889	0.089518905	0.085811758	0.078979363	0.08345315	0.088768805	0.085646734	0.082901771	0.130786344	0.097521633	0.065834314	0.077393311	0.058693567	0.065313956	0.08080108	0.050003229	0.067158307	0.117923798	0.072533889	0.066640985	0.064569886	0.05503692	0.092042126	0.089881463	0.066880447	0.088361132	0.107487328	0.070189413	0.104869549	0.072487755	0.08777276	0.075869872	0.043195989	0.070121875	0.059719315	0.051874167	0.076447527	0.04753648	0.103492971	0.049819967	0.046286762	0.08333081	0.074630242	0.074129246	0.066210968	0.064950186	0.111252704	0.074593936
TNFSF12-TNFSF13	407977	0.682475022	0.65120677	0.699371533	0.508154402	0.638014902	0.694872728	0.715524509	0.57601789	0.566184573	0.305728307	0.61849591	0.454531281	0.562074694	0.424682426	0.548361051	0.460072056	0.642178663	0.650318672	0.284225244	0.63856572	0.485750724	0.704807411	0.378323845	0.355554209	0.393043955	0.587398748	0.395241086	0.470836012	0.65076143	0.413221829	0.613838131	0.735438235	0.633154618	0.480387457	0.396097948	0.542081252	0.646443304	0.579718034	0.438582412	0.648427278	0.493537842	0.594059191	0.424871478	0.518602277	0.623240066	0.564950511	0.492657512	0.496776269	0.74390838	0.540947283	0.487581159	0.405187154	0.437826594	0.690042083	0.447666769	0.746098981	0.492778233	0.415492898	0.64171089	0.50379951	0.476141837	0.678856014	0.585633397	0.662355676	0.464494479	0.574023501	0.811364227	0.527576896	0.331435888	0.442730422	0.442059177	0.682041582	0.741351928	0.710008945	0.60492123	0.538999317	0.870771467	0.482320054	0.482699257	0.538976905	0.521648725	0.654506828	0.561963972	0.434767983	0.714616379	0.595972413	0.697070359	0.38606518	0.614728046	0.496911695	0.433626273	0.589610264	0.498230667	0.680597325	0.609298359	0.502478404	0.498284605	0.629457344	0.549674953	0.683821139	0.63545181	0.647249276	0.577995161	0.539954696	0.613860036	0.681972681	0.550098018	0.583025939	0.490049336	0.616984178	0.550663425	0.517618219	0.577763556	0.580480665	0.609943119	0.439925872	0.480079527	0.591459467	0.573909066	0.607772281	0.694275793	0.66444824	0.65455852	0.719687298	0.651957467	0.592520105
LSM7	51690	0.018929252	0.016694306	0.017991639	0.017707532	0.015557167	0.01832595	0.01536169	0.013749738	0.013146552	0.012662365	0.014328183	0.027132033	0.014431042	0.013486169	0.017858712	0.02063472	0.016002469	0.021303518	0.045466885	0.018576082	0.016769921	0.01576822	0.037725365	0.041811206	0.017552294	0.014219037	0.026391141	0.02355206	0.017247278	0.02050345	0.039048634	0.014045303	0.02433836	0.014826573	0.023025884	0.021287085	0.027005648	0.012425631	0.017056671	0.021277726	0.01748178	0.014315043	0.019295386	0.022341959	0.014651726	0.013553059	0.017127878	0.025405796	0.013395267	0.018691745	0.022431647	0.015889558	0.019496281	0.018322238	0.013439627	0.021378665	0.021557363	0.021733771	0.009157193	0.022189621	0.017675153	0.016611415	0.025747634	0.017269965	0.024510163	0.024813701	0.012471089	0.014840792	0.015461368	0.027176732	0.018065521	0.034352379	0.017144062	0.019091957	0.0208516	0.02488021	0.01564658	0.017224752	0.019338994	0.017299187	0.0208195	0.010246056	0.017680049	0.017375227	0.016236349	0.016451942	0.021772685	0.015123113	0.017754589	0.012781821	0.014010997	0.013115962	0.020970175	0.013071949	0.016392793	0.015853338	0.013416863	0.022830537	0.017759258	0.019552586	0.016271251	0.010033488	0.012692889	0.013445337	0.015337014	0.012317788	0.016305318	0.0170828	0.017305075	0.016473126	0.016159429	0.016629474	0.011608346	0.014766298	0.016801977	0.013739289	0.01508722	0.01325162	0.014148891	0.013500282	0.014876504	0.014346601	0.015801111	0.01259484	0.016169605	0.014182134
CUL5	8065	0.046623612	0.02130795	0.024583569	0.028042062	0.029347099	0.030160366	0.035124428	0.036120587	0.020511173	0.024937221	0.027392063	0.040636689	0.019916536	0.027709309	0.034143711	0.023815548	0.041698237	0.037365888	0.048649079	0.034899037	0.029547359	0.027046132	0.047781318	0.061012422	0.053445905	0.024355754	0.042675403	0.036181538	0.034435116	0.031209716	0.033911449	0.04308472	0.044407413	0.029277793	0.029472811	0.039292135	0.031400696	0.027677557	0.038741147	0.036310956	0.044535219	0.021788577	0.026425726	0.035743986	0.068527514	0.026884943	0.03572019	0.037942298	0.030608022	0.040074545	0.030642452	0.035932656	0.037528792	0.043633808	0.029884215	0.039606145	0.041465781	0.041079842	0.02931039	0.048512769	0.041795093	0.057122694	0.0493898	0.030503752	0.03340951	0.035063533	0.104339594	0.02764284	0.028255847	0.035917796	0.047484367	0.032939238	0.038221564	0.042084805	0.024386043	0.043537174	0.088821903	0.029698532	0.021873818	0.026553946	0.031200531	0.023222559	0.028994746	0.028276397	0.027841342	0.030030626	0.039570499	0.027452969	0.024451752	0.028287222	0.037066601	0.033678214	0.027006834	0.028605386	0.028575899	0.026021212	0.026579886	0.03308478	0.029749771	0.037111294	0.019949952	0.031352763	0.021924229	0.021881796	0.02601014	0.03077302	0.030939102	0.017783162	0.025940963	0.024181801	0.017375266	0.024101614	0.02943004	0.03274062	0.032512983	0.027694891	0.025627071	0.026149454	0.033507021	0.030304669	0.031864836	0.031014609	0.024388534	0.02417088	0.025863412	0.024296036
FASLG	356	0.76231974	0.795368198	0.719455756	0.66120541	0.679228681	0.760877523	0.586063955	0.694094713	0.735608043	0.7853114	0.529364595	0.691389094	0.588877369	0.817279845	0.691675804	0.643985009	0.653611427	0.660193249	0.564334739	0.729060552	0.532869004	0.773827733	0.442806517	0.79713575	0.680440897	0.693116384	0.440525583	0.622645605	0.758411046	0.518260845	0.797663034	0.672078244	0.454566965	0.797019983	0.64567653	0.478146349	0.421793613	0.516101489	0.433707238	0.675290733	0.381940421	0.593061956	0.638591727	0.643582995	0.155124973	0.715988761	0.660259849	0.57044547	0.078957858	0.708682036	0.692662327	0.561412484	0.648638988	0.674800555	0.648500833	0.829626915	0.552093768	0.667044816	0.674018789	0.618845216	0.660029604	0.748955209	0.597880649	0.775749304	0.623476162	0.744280078	0.539100825	0.726295344	0.065195571	0.415106622	0.643494329	0.774689452	0.781426568	0.445146298	0.733688575	0.639306223	0.532538906	0.531385954	0.751259403	0.605972135	0.568785022	0.650214673	0.805647029	0.674414253	0.852814757	0.71509515	0.84375816	0.654660821	0.605004952	0.542569712	0.552355383	0.76672652	0.752276874	0.740438077	0.602644804	0.542545511	0.672419241	0.554072111	0.639952249	0.798776788	0.810925054	0.71340762	0.641648047	0.68558012	0.579360946	0.487790081	0.56608509	0.68219937	0.521430216	0.746595028	0.700010475	0.714736073	0.541343709	0.533103683	0.71203188	0.657072412	0.620517318	0.449323886	0.619630483	0.729323833	0.610677919	0.671419613	0.542061271	0.772380127	0.819329764	0.811843534
MAPK8IP2	23542	0.735075222	0.520967604	0.762256708	0.4938161	0.488224941	0.760099596	0.447410472	0.594977267	0.531461442	0.684038924	0.643043392	0.579501668	0.587482354	0.717596818	0.459544279	0.446644251	0.679514114	0.612351227	0.590365041	0.765314761	0.69744296	0.14652793	0.642311149	0.194403704	0.597301406	0.70324918	0.663763386	0.44988811	0.54104523	0.606511952	0.889122673	0.796423178	0.744768964	0.323500599	0.594431566	0.693340408	0.476621103	0.59411457	0.680435165	0.545836616	0.771374619	0.306255704	0.724921339	0.581605904	0.153892433	0.725957956	0.551853331	0.836537568	0.194781446	0.697461404	0.62066588	0.514082122	0.611861228	0.533085831	0.718209506	0.307659394	0.69987497	0.479261894	0.320631008	0.788303567	0.435712213	0.492558303	0.563969809	0.845282958	0.583316661	0.778231079	0.269056154	0.73693042	0.204047328	0.608737805	0.638263579	0.791825987	0.728919024	0.058951732	0.909864449	0.657036539	0.257904185	0.671926074	0.665403606	0.567717973	0.558013663	0.472276323	0.632061397	0.618297315	0.59874232	0.701283259	0.591612485	0.538912765	0.542281497	0.62847038	0.605367505	0.578360316	0.614325441	0.722912216	0.533476638	0.541413332	0.653854577	0.468595998	0.740822662	0.656329213	0.77153888	0.638813451	0.642547268	0.546968266	0.673924053	0.764196962	0.393793024	0.444968637	0.436115776	0.714694422	0.337931876	0.638891385	0.670492155	0.419177426	0.729463622	0.437394457	0.563483224	0.819990762	0.471713842	0.416871047	0.826090752	0.802205087	0.564741698	0.596941876	0.603400165	0.577603588
TIGD7	91151	0.935309316	0.938658078	0.935694768	0.936112609	0.941945689	0.927440347	0.926474817	0.933714865	0.932871536	0.942021261	0.915840596	0.347320574	0.944691393	0.940909256	0.917350586	0.915188252	0.946518054	0.931240535	0.733484974	0.940009447	0.880606928	0.901275978	0.880337101	0.848042929	0.878097786	0.933719574	0.890612693	0.870099203	0.905448689	0.836930834	0.85387004	0.937924869	0.91466816	0.888075736	0.896234257	0.819881654	0.886014575	0.932185189	0.899545366	0.897177328	0.919953061	0.937285562	0.919770525	0.895315955	0.917695336	0.938098104	0.926888243	0.887272844	0.845492568	0.881725166	0.939718061	0.866986822	0.922246054	0.920285064	0.938459304	0.881216098	0.862623197	0.917724147	0.893791055	0.890054773	0.922259891	0.890784419	0.909208745	0.863019806	0.895730704	0.886912491	0.927655346	0.933356563	0.908779724	0.846144187	0.925058414	0.772128813	0.923019769	0.812900185	0.910818915	0.842885852	0.922000081	0.9021942	0.929502474	0.889550789	0.937783003	0.941047502	0.946476763	0.951059403	0.94004411	0.92954827	0.913154289	0.932921286	0.934925816	0.919869693	0.93425959	0.945365159	0.944383532	0.940199196	0.927624353	0.931394347	0.952745617	0.923934594	0.938516218	0.955667415	0.950286234	0.926201316	0.940990202	0.938560455	0.912338187	0.951071636	0.932411129	0.954367287	0.907910749	0.948585158	0.913600181	0.938162695	0.926231783	0.947615033	0.934621184	0.93130533	0.912557603	0.953326932	0.943548578	0.936320784	0.937026833	0.928131865	0.943806422	0.918050599	0.921079336	0.940959218
MYH1	4619	0.724168291	0.614714728	0.410754751	0.586864002	0.575696941	0.228581093	0.131372286	0.443952579	0.467597083	0.58065324	0.35680522	0.354199807	0.306336083	0.878670207	0.714401367	0.33309281	0.763611155	0.321985697	0.266033826	0.568220326	0.623268211	0.083505806	0.689685729	0.205599472	0.826215624	0.383393646	0.753169613	0.66388986	0.330946422	0.678769333	0.752433566	0.267311441	0.37438635	0.362607524	0.793907483	0.508635704	0.293087568	0.722188299	0.760366478	0.363962863	0.577388198	0.361803938	0.754685278	0.533002344	0.058115512	0.641157606	0.865107602	0.716502471	0.116030134	0.387532616	0.86789518	0.716132034	0.602480248	0.443985262	0.86252961	0.846176259	0.595900671	0.560999428	0.080431249	0.579838592	0.552319199	0.481430326	0.549425481	0.331562996	0.64320178	0.600765352	0.612443227	0.693574691	0.074498023	0.647310492	0.494085318	0.140934795	0.822529316	0.145036151	0.855778547	0.641924807	0.382560367	0.685811332	0.18038587	0.600474135	0.72371944	0.53865149	0.776485989	0.828696716	0.28682709	0.486729661	0.242784491	0.545401489	0.592120818	0.692015224	0.802394045	0.624418439	0.87258827	0.903805209	0.55992738	0.653630514	0.870047455	0.570249783	0.703391945	0.359678652	0.278366514	0.466995121	0.723756655	0.518158195	0.683365209	0.462957778	0.506459837	0.307953516	0.302249422	0.650157383	0.209057719	0.784432893	0.340478132	0.220919638	0.59019361	0.462918859	0.665294956	0.339551907	0.406542528	0.547430989	0.330531588	0.340802635	0.337453918	0.301892919	0.32179275	0.366425629
HCLS1	3059	0.598439503	0.54410532	0.668999238	0.456895075	0.394464312	0.604443789	0.584670539	0.630999288	0.436571107	0.631711392	0.436588226	0.378433138	0.488900091	0.689403051	0.420655571	0.429013678	0.293873453	0.273249011	0.122306296	0.499251367	0.448507101	0.820845359	0.10386935	0.681348319	0.496560324	0.238737705	0.198144029	0.46431625	0.436194796	0.265400189	0.695527521	0.598478856	0.681926076	0.737213089	0.485586585	0.254206158	0.565886047	0.269538606	0.231327309	0.227873897	0.427648306	0.121492923	0.429662316	0.562905041	0.930290194	0.424030462	0.310743014	0.357935398	0.798559076	0.220063029	0.515271814	0.244130931	0.496541461	0.481701858	0.534972805	0.911716083	0.197121088	0.486853793	0.016796182	0.568730474	0.066675526	0.336969615	0.30222174	0.507024629	0.317230621	0.434506533	0.824999094	0.4912838	0.729409961	0.161334064	0.282803941	0.506134582	0.134524054	0.896992146	0.519935508	0.178695003	0.922761035	0.150486207	0.513507424	0.190962432	0.383300718	0.465945209	0.35676974	0.282943524	0.327347211	0.441948948	0.561037733	0.30654194	0.451513047	0.179253176	0.364692513	0.321413818	0.174747022	0.568649552	0.122286128	0.338064737	0.220676061	0.45842163	0.524788864	0.608097425	0.726955798	0.488406378	0.445775893	0.531565193	0.282844905	0.368840059	0.679336644	0.490384429	0.229465079	0.560178649	0.65173581	0.37103729	0.225735566	0.51105547	0.617807662	0.257394277	0.092671105	0.57081093	0.37039227	0.569659869	0.530303945	0.558787342	0.58677856	0.523641526	0.619282845	0.656465519
DDX20	11218	0.078929156	0.058713212	0.10099747	0.110708919	0.115955226	0.064762522	0.322971103	0.07531523	0.077309189	0.073210822	0.081665028	0.085677211	0.139192638	0.08367563	0.088019921	0.094311988	0.143190021	0.070932875	0.188324217	0.108967051	0.102922106	0.077979205	0.122837278	0.150748436	0.08313299	0.123572751	0.218601072	0.156797699	0.086638211	0.201226034	0.098913157	0.077687712	0.061576881	0.091402537	0.138088722	0.146746736	0.082290504	0.079889899	0.143381918	0.079469769	0.094916888	0.084272764	0.111765962	0.17881448	0.068825485	0.079673911	0.130457674	0.154504321	0.075539767	0.127767323	0.072285783	0.160326691	0.069133255	0.089747117	0.113174614	0.118879017	0.10820697	0.106683973	0.068293267	0.176431924	0.07892479	0.10569288	0.141193493	0.130773236	0.134912138	0.084516786	0.112974565	0.079082183	0.065796093	0.181786692	0.079836805	0.13300083	0.078259492	0.078144993	0.119231245	0.190708422	0.096672151	0.103852743	0.264860824	0.084442789	0.098211028	0.097415387	0.11193702	0.187329503	0.105051651	0.11362903	0.075626954	0.108329499	0.139786299	0.158642603	0.167042552	0.141408233	0.095482966	0.073936501	0.094441538	0.101518592	0.084832912	0.119358898	0.083240753	0.06400748	0.067733996	0.085742589	0.086445668	0.075382108	0.105780473	0.122361212	0.07271229	0.104058446	0.083523587	0.058324302	0.083677206	0.079719666	0.087914121	0.066545227	0.060172101	0.061601505	0.10090771	0.060906453	0.072908387	0.069802316	0.081008195	0.13195916	0.077304666	0.079774135	0.083749034	0.068399795
DDX58	23586	0.036302709	0.028007955	0.039181754	0.025226749	0.022220604	0.045094845	0.028948968	0.023645907	0.026353165	0.023519376	0.031058709	NA	0.025605012	0.030863429	0.030916675	0.031715568	0.030599259	0.031094954	NA	0.047627357	NA	NA	NA	NA	0.048532474	0.035729869	0.030490432	NA	0.040501933	NA	NA	0.035856953	0.043430151	NA	0.029164311	NA	0.046591796	0.029508056	0.02907345	0.031972436	0.04086432	0.033811797	0.040243132	NA	NA	0.033115313	0.034297638	0.053227155	0.045469041	NA	0.032158945	NA	0.02927325	0.035437845	0.025990104	NA	0.035802289	0.04083195	NA	NA	0.031864793	0.034722001	0.04405987	NA	NA	NA	0.026988844	0.030538482	0.022567579	NA	0.028861213	NA	0.033385827	NA	0.039823184	NA	0.04037561	0.032728586	0.025052278	0.03727552	0.027479674	0.024412807	0.02534078	0.027702165	0.030202318	0.029548755	0.036931928	0.048698902	0.028515096	0.026028017	0.028206029	0.02366842	0.026243985	0.021172382	0.032954505	0.035335864	0.027009499	0.024482298	0.038027922	0.028027678	0.022097975	0.032254699	0.025417277	0.030031622	0.035404605	0.030626949	0.041247238	0.022914761	0.045466032	0.026772541	0.025665957	0.025471174	0.029684742	0.029709749	0.031297198	0.026394322	0.028713293	0.027188243	0.026643437	0.022729117	0.039160815	0.031737361	0.026448766	0.033600832	0.030730636	0.026958583
MAPK11	5600	0.014023892	0.016589116	0.01669724	0.017538863	0.01924221	0.019082284	0.024094254	0.016662072	0.018371476	0.020112456	0.019559848	0.066995141	0.018267467	0.015437746	0.016895162	0.022011135	0.020257664	0.021283956	0.034318275	0.023253095	0.023851761	0.018295691	0.019137524	0.022751318	0.018196212	0.01619757	0.016628123	0.015533114	0.029082949	0.019393447	0.030064103	0.260192278	0.025670019	0.161896776	0.284772687	0.017027476	0.030697747	0.01560072	0.03415563	0.017747556	0.016381542	0.023881663	0.035642473	0.020062166	0.022186539	0.040285262	0.021311334	0.014486166	0.017946162	0.017560107	0.050726418	0.015465163	0.023931826	0.018548139	0.017089023	0.092520467	0.020416871	0.013058195	0.014957439	0.015927916	0.016008411	0.02718366	0.022343121	0.027156853	0.026252997	0.024706507	0.02230731	0.015617475	0.016698909	0.020049289	0.01236009	0.024504226	0.016750829	0.016953385	0.026702936	0.020788451	0.014878609	0.02181549	0.023262078	0.027033133	0.020065697	0.016201889	0.037055716	0.016984662	0.018569674	0.025384901	0.026809909	0.036535539	0.025408302	0.012895106	0.025544303	0.017139866	0.02945816	0.039121923	0.022173975	0.021860242	0.019453308	0.017919912	0.023673336	0.02170359	0.024186124	0.015138809	0.018402794	0.028237573	0.040658656	0.014064467	0.025782971	0.021621616	0.034600798	0.045491262	0.022074547	0.019863752	0.018279103	0.02209022	0.019283302	0.01402664	0.015895712	0.051122859	0.024108308	0.021455134	0.131227704	0.109472273	0.032637915	0.027065728	0.021187579	0.04916237
POLK	51426	0.038986537	0.040431527	0.037703286	0.033799791	0.034218776	0.046119246	0.034171633	0.043523648	0.037961658	0.03539023	0.031177251	0.085245701	0.030743369	0.036766707	0.03643309	0.049991432	0.038831773	0.042887058	0.115620108	0.038435326	0.058357205	0.032738307	0.036046921	0.097363133	0.044909624	0.024859617	0.038208201	0.04255604	0.021559852	0.045188165	0.086078247	0.027311805	0.05098625	0.041651674	0.043949312	0.057482081	0.033842416	0.029326253	0.029063749	0.03576805	0.039893686	0.048480831	0.037577834	0.046729331	0.068170336	0.033481642	0.044417736	0.050246443	0.053229074	0.041153487	0.042757565	0.032154048	0.02901729	0.046642426	0.025789774	0.087547349	0.040585185	0.051156747	0.070643838	0.036551974	0.058725113	0.043951477	0.03153101	0.038853353	0.040037645	0.023657524	0.021856247	0.038755743	0.045602476	0.055025004	0.058494143	0.062103904	0.039105837	0.107674504	0.054541693	0.055871619	0.032815852	0.032772831	0.028249627	0.047062852	0.041447275	0.030813185	0.038968483	0.033695769	0.04083418	0.035251274	0.056659197	0.036773306	0.032109389	0.0447753	0.035465783	0.033254928	0.029653778	0.031841369	0.038425839	0.050571819	0.032873557	0.03653343	0.045811693	0.030856575	0.034076048	0.038283016	0.032198131	0.040143073	0.036542954	0.031954825	0.037212101	0.04066493	0.036948727	0.037415815	0.042624866	0.031957357	0.036345747	0.052951831	0.036328272	0.027216649	0.045405259	0.033222964	0.024250505	0.028645566	0.036272408	0.036449921	0.03684729	0.049512865	0.032329205	0.033609743
TCN1	6947	0.140867913	0.17615656	0.206841986	0.292908896	0.222897359	0.198290063	0.098584092	0.263430697	0.227319617	0.357051701	0.197207087	0.3314606	0.222943895	0.813032748	0.419850314	0.270884489	0.475402747	0.233653556	0.404151694	0.293593307	0.418981569	0.853989022	0.467395143	0.401519592	0.49030137	0.231610091	0.418316097	0.336734076	0.35410661	0.549189561	0.304668075	0.217865178	0.271232178	0.155415044	0.380732338	0.368510859	0.178741655	0.35468844	0.538584389	0.18234855	0.345320214	0.176347147	0.475466826	0.329753914	0.346734945	0.168751249	0.424168206	0.466374953	0.315223436	0.382234248	0.467855238	0.526744602	0.553760926	0.253486883	0.596001502	0.411031375	0.389313395	0.267649814	0.131267644	0.416685959	0.233168713	0.303948754	0.306973909	0.317464821	0.539719817	0.45456141	0.467332879	0.422617881	0.132591953	0.514993924	0.420009187	0.361828188	0.16026913	0.238945816	0.309173451	0.33893195	0.17576248	0.302776651	0.165079202	0.397316079	0.286551321	0.351892518	0.423648405	0.520400741	0.235503788	0.290426927	0.39072367	0.460006696	0.264163703	0.332995061	0.465769356	0.096394861	0.312801108	0.260834048	0.327505798	0.213712757	0.428838185	0.400177226	0.43416123	0.22578595	0.308675314	0.295194795	0.385694151	0.424006436	0.245496874	0.186064358	0.228286405	0.229654046	0.152145173	0.293754825	0.151366783	0.247983613	0.100733504	0.09735073	0.42078548	0.20636584	0.261342451	0.246514268	0.290353369	0.246305912	0.439255348	0.273587517	0.224918847	0.147810861	0.254915857	0.310293175
MCM5	4174	0.602791852	0.440818885	0.973439094	0.676035497	0.490170231	0.972736811	0.974569264	0.872217228	0.841070726	0.984197054	0.83788024	0.328574233	0.908885136	0.97251808	0.784997139	0.520978072	0.624141927	0.759070508	0.449972989	0.937877927	0.63527148	0.965948885	0.877299445	0.52707746	0.918627436	0.926706287	0.918695599	0.95355249	0.934874858	NA	0.924740459	0.949557545	0.322110043	0.952247384	0.959858371	0.941512829	0.544114074	0.769074284	0.964049979	0.88988128	0.90875272	0.515625945	0.94993247	0.669772923	0.961864699	0.600617942	0.964480171	0.940529997	0.950042577	NA	0.925391115	0.840697715	0.966089964	0.808669597	0.941060893	0.090354828	0.930405456	0.917644317	0.578645799	0.886535009	0.665650001	0.969078683	0.859994448	0.960073944	0.963816523	0.866481933	0.973968419	0.703926773	0.195012386	0.819745707	0.932954229	0.913478607	0.95942683	0.143471537	0.961052041	0.924917447	0.931615567	0.824020229	0.952416386	0.774670692	0.963244341	0.955228422	0.946501047	0.981765628	0.534396374	0.955143916	0.578862754	0.957561164	0.611091634	0.848786813	0.940416042	0.659789988	0.959454235	0.974936752	0.967988855	0.914208269	0.964609118	0.893185396	0.966140682	0.952789815	0.962307333	0.96192586	0.720001408	0.778159975	0.909942681	0.945616802	0.574404284	0.408187689	0.317997948	0.789064749	0.270635997	0.612709511	0.903467475	0.294053069	0.973179383	0.428435919	0.565960543	0.976172987	0.941069322	0.64691463	0.927720631	0.978161438	0.891017609	0.965510455	0.982072032	0.966362902
